Week Starting,Week Ending,Collections,Individual,Group Type 1,Group Type 2,Group Collections,Total Sandwiches
2025-08-20,2025-08-26,2,0,700,0,700,700
2025-08-27,2025-09-02,9,5194,3144,0,3144,8338
2025-09-03,2025-09-09,14,4152,2490,212,2702,6854
2025-09-10,2025-09-16,17,4045,3649,232,4061,8106
2025-09-17,2025-09-23,16,4701,2991,573,4469,9170
2025-09-24,2025-09-30,16,4670,3871,557,5079,9749
2025-10-01,2025-10-07,15,4049,2856,847,5422,9471
2025-10-08,2025-10-14,16,4803,2062,871,4125,8928
2025-10-15,2025-10-21,14,4705,2550,354,2904,7609
2025-10-22,2025-10-28,13,4445,1892,807,3524,7969
2025-10-29,2025-11-04,12,5173,1893,835,2928,8101
2025-11-05,2025-11-11,10,6452,1246,992,6555,13007
2025-11-12,2025-11-18,14,4084,3261,1390,13331,17415
2025-11-19,2025-11-25,5,1545,3781,590,6018,7563

Total,,14,,,,,122980